KAAM,770 AM,Garland,"DJRD Broadcasting, LLC",Adult Standards/Oldies
KISX,107.3 FM,Whitehouse,"Townsquare Media Tyler License, LLC",Urban Adult Contemporary
KISY,92.7 FM,Blossom,Tracy McCutchen,
KITE,93.3 FM,Port Lavaca,"Victoria Radioworks, LLC",Oldies
KITY,102.9 FM,Llano,Bryan A. King,Oldies
KIUN,1400 AM,Pecos,"Pecos Radio Co., Inc.",Country
KIVM,91.1 FM,Fredericksburg,La Promesa Foundation,
KIVY,1290 AM,Crockett,Leon Hunt,
KIVY-FM,92.7 FM,Crockett,Leon Hunt,Country
KIXL,970 AM,Del Valle,"Starboard Media Foundation, Inc.",Christian Talk
KIXS,107.9 FM,Victoria,"Townsquare Media Victoria License, LLC",Country
KIXT,106.7 FM,Hewitt,"Prophecy Media Group, LLC",
KIXY-FM,94.7 FM,San Angelo,"Foster Communications Company, Inc.",Top 40 (CHR)
KIXZ,940 AM,Amarillo,"Townsquare Media Amarillo License, LLC",News/Talk
KJAK,92.7 FM,Slaton,G.O. Williams Oil Co. Inc. d/b/a Williams Broadcasting Group,Christian
KJAS,107.3 FM,Jasper,"James M. Lout dba Rayburn Broadcasting, Inc.",Adult Contemporary
KJAV,104.9 FM,Alamo,MBM Texas Valley LLC,Adult Hits
KJAZ,94.1 FM,Point Comfort,Roy E. Henderson,Silent
KJBZ,92.7 FM,Laredo,Encarnacion A. Guerra,Tejano
KJCE,1370 AM,Rollingwood,"Entercom License, LLC",News/Talk
KJCS,103.3 FM,Nacogdoches,"Radio Licensing, Inc.",Country
KJDL,1420 AM,Lubbock,"Walker Broadcasting & Communications, Ltd.",Top 40 (CHR)
KJDL-FM,105.3 FM,Levelland,"Walker FM Holdings, LLC",Texas Country
KJHV-LP,96.3 FM,Killeen,Fish Net Media Inc.,
KJIC,90.5 FM,Santa Fe,"Community Radio, Inc.",Gospel
KJIM,1500 AM,Sherman,"Bob Mark Allen Productions, Inc.",
KJJB,95.3 FM,Eagle Lake,Jennifer Cremeens,
KJJP,105.7 FM,Amarillo,"Kanza Society, Inc.","Public Radio; News, Classical Music, Jazz"
KJJS,103.9 FM,Zapata,"Hispanic Target Media, Inc.",
KJJT,98.5 FM,Los Ybanez,Jesus Pena Acosta,
KJKK,100.3 FM,Dallas,CBS Radio Texas Inc.,Jack FM
KJMA,89.7 FM,Floresville,La Promesa Foundation,Religious
KJNZ,103.5 FM,Hereford,"Hereford Broadcasting, LLC",Regional Mexican
KJOJ-FM,103.3 FM,Freeport,Liberman Broadcasting of Houston License LLC,Regional Mexican
KJON,850 AM,Carrollton,"Chatham Hill Foundation, Inc.",Spanish Catholic
KJOZ,880 AM,Conroe,"Daij Media, LLC",
KJRN,88.3 FM,Keene,Southwestern Adventist University,Christian
KJRT,88.3 FM,Amarillo,Top O' Texas Educational Broadcasting Foundation,Religious
KJTV,950 AM,Lubbock,"Ramar Communications, Inc.",Talk & Sports
KJTX,104.5 FM,Jefferson,"Wisdom Ministries, Inc.",Gospel
KJUK-LP,97.3 FM,Hooks,American Legion Post 248 Inc.,
KJXJ,103.9 FM,Franklin,"Brazos Valley Communications, Ltd.",Rock
KJXK,102.7 FM,San Antonio,"Alpha Media Licensee, LLC",Adult Hits
KKAM,1340 AM,Lubbock,"Townsquare Media Lubbock License, LLC",Sports
KKBA,92.7 FM,Kingsville,"Malkan Interactive Communications, L.L.C.",Rhythmic AC
KKBQ-FM,92.9 FM,Pasadena,"Cox Radio, Inc.",Country
KKCL,98.1 FM,Lorenzo,"Townsquare Media Lubbock License, LLC",Oldies
KKCN,103.1 FM,Ballinger,"Townsquare Media San Angelo License, LLC",Country
KKDA,730 AM,Grand Prairie,"SKR Partners, LLC",Korean
KKDA-FM,104.5 FM,Dallas,"Service Broadcasting Group, LLC",Urban Contemporary/Mainstream Urban
KKDL,93.7 FM,Dilley,Isaac Tellez Evangelistic Ministries Inc.,
KKER,88.7 FM,Kerrville,"Houston Christian Broadcasters, Inc.",Religious
KKGM,1630 AM,Ft. Worth,"Mortenson Broadcasting Co. of Texas, Inc.",Talk
KKGN,96.5 FM,Ingram,"Radio Ranch, Ltd.",
KKHA,92.5 FM,Markham,Edwards Broadcasting Co.,Classic Hits
KKHH,95.7 FM,Houston,CBS Radio Texas Inc.,Top 40 (CHR)
KKHR,106.3 FM,Abilene,"Canfin Enterprises, Inc.",Tejano
KKHT-FM,100.7 FM,Lumberton,"Salem Media of Illinois, LLC",Religious
KKLF,1700 AM,Richardson,"Claro Communications, Ltd.",
KKLK-LP,98.9 FM,Marfa,Casa Vida Corporation,
KKLM,88.7 FM,Corpus Christi,Educational Media Foundation,
KKLU,90.9 FM,Lubbock,Educational Media Foundation,
KKLY,89.5 FM,El Paso,Educational Media Foundation,K-LOVE
KKMJ-FM,95.5 FM,Austin,"Entercom License, LLC",Adult Contemporary
KKMY,104.5 FM,Orange,Capstar TX LLC,Rhythmic Top 40
KKNM,96.5 FM,Bovina,"Tejas Broadcasting, LLP",
KKPN,102.3 FM,Rockport,Convergent Broadcasting II LLC,Top 40 (CHR)
KKPS,99.5 FM,Brownsville,"Entravision Holdings, LLC",Tejano
KKSA,1260 AM,San Angelo,"Foster Communications Company, Inc.",News Talk Information
KKTK,1400 AM,Texarkana,Freed AM Corp.,News/Talk
KKTX,1360 AM,Corpus Christi,Capstar TX LLC,Album Oriented Rock
KKTX-FM,96.1 FM,Kilgore,"Townsquare Media Tyler License, LLC",Classic Rock
KKUB,1300 AM,Brownfield,Dios Llega al Hombre Ministries,Country
KKUS,104.1 FM,Tyler,Access.1 Texas License Company LLC,Classic Country
KKVR,106.1 FM,Kerrville,"Radio Ranch, Ltd.",Oldies
KKWV,88.1 FM,Aransas Pass,Educational Media Foundation,
KKXI-LP,92.3 FM,Mount Pleasant,"Alpha Broadcasting Network, Inc.",
KKXT,91.7 FM,Dallas,"North Texas Public Broadcasting, Inc.",Adult Alternative (Public)
KKYN-FM,106.9 FM,Plainview,"Rhattigan Broadcsting (Texas), LP",Country
KKYR-FM,102.5 FM,Texarkana,"Townsquare Media Texarkana License, LLC",Country
KKYS,104.7 FM,Bryan,"CC Licenses, LLC",Hot Adult Contemporary
KKYX,680 AM,San Antonio,"Cox Radio, Inc.",Country
KLAK,97.5 FM,Tom Bean,"NM License, LLC",
KLAQ,95.5 FM,El Paso,"Townsquare Media of El Paso, Inc.",Active Rock
KLAR,1300 AM,Laredo,"Faith and Power Communications, Inc.",Spanish Christian
KLAT,1010 AM,Houston,Tichenor License Corporation,Spanish Language News/Talk
KLBB-FM,107.7 FM,Idalou,Ramar Communications Inc.,Classic Hits
KLBD,88.1 FM,Premont,The Worship Center of Kingsville,
KLBJ,590 AM,Austin,"Emmis Austin Radio Broadcasting Company, L.P.",News/Talk
KLBJ-FM,93.7 FM,Austin,"Emmis Austin Radio Broadcasting Company, L.P.",Classic Rock
KLBT,88.1 FM,Beaumont,"The King's Musician Educational Foundation, Inc.",
KLBW,1530 AM,New Boston,Chapel of Light,Religious
KLDE,104.9 FM,Eldorado,Tenn-Vol Corp.,Oldies
KLDN,88.9 FM,Lufkin,BD Supervisors,Public Radio
KLDS,1260 AM,Falfurrias,"La Radio Cristiana Network, Inc.",Religious
KLEY-FM,95.7 FM,Jourdanton,"Alpha Media Licensee, LLC",Regional Mexican
KLFX,107.3 FM,Nolanville,"Clear Channel Broadcasting Licenses, Inc.",Active Rock
KLGD,106.9 FM,Stamford,"Vance Communications, LLC",Tejano
KLGO,1260 AM,Elgin,Total Austin Sports Radio LLC,Sports/Classic Hits
KLGS,89.9 FM,College Station,American Family Association,
KLHB,105.5 FM,Portland,"Tejas Broadcasting Ltd., LLP",Tejano
KLIF,570 AM,Dallas,"KLIF Lico, Inc.",News/Talk
KLIF-FM,93.3 FM,Haltom City,Radio License Holding SRC LLC,Top 40 (CHR)
KLIT,93.3 FM,Ranchitos Las Lomas,La Nueva Cadena Radio Luz,Spanish Christian
KLJA,107.7 FM,Georgetown,Univision Radio License Corporation,Regional Mexican
KLJT,102.3 FM,Jacksonville,"Waller Broadcasting, Inc.",Top 40 (CHR)
KLKV,99.9 FM,Hunt,Educational Media Foundation,Contemporary Christian
KLLL-FM,96.3 FM,Lubbock,Wilks License Company-Lubbock LLC,Country
KLLR,91.9 FM,Dripping Springs,Educational Media Foundation,
KLMO-FM,98.9 FM,Dilley,Humberto Lopez dba Dilley Broadcasters,Spanish Religious
KLNA-LP,100.5 FM,Pittsburg,Ministerios Tocando Corazones,
KLNO,94.1 FM,Fort Worth,Univision Radio License Corporation,Regional Mexican
KLNT,1490 AM,Laredo,MBM Radio Laredo LLC,ESPN Radio
KLOL,101.1 FM,Houston,CBS Radio Stations Inc.,Spanish Pop
KLOW,98.9 FM,Reno,"Vision Media Group, Inc.",
KLPF,1150 AM,Midland,La Promesa Foundation,Christian
KLQB,104.3 FM,Taylor,Univision Radio License Corporation,Regional Mexican
KLRK,1590 AM,Mexia,"M&M Broadcasters, Ltd.",Adult Hits
KLRW,88.5 FM,Byrne,Educational Media Foundation,
KLSR-FM,105.3 FM,Memphis,"Davis Broadcast Co., Inc.",Country
KLTB,89.7 FM,Brownfield,"Christian Ministries of the Valley, Inc.",
KLTD,101.7 FM,Temple,"Townsquare Media Bloomington License, LLC",Classic Hits
KLTG,96.5 FM,Corpus Christi,"Tejas Broadcasting Ltd., LLP",Adult Top 40
KLTN,102.9 FM,Houston,Univision Radio Houston License Corporation,Regional Mexican
KLTO,1230 AM,Del Rio,"Forum Broadcasting, Inc.",
KLTP,90.9 FM,San Angelo,Christian Broadcasting Company Inc.,
KLTR,94.1 FM,Brenham,Roy E. Henderson,Adult Contemporary
KLTY,94.9 FM,Arlington,"Inspiration Media of Texas, LLC",Christian Contemporary
KLUB,106.9 FM,Bloomington,"Townsquare Media Victoria License, LLC",Album Oriented Rock
KLUP,930 AM,Terrell Hills,"South Texas Broadcasting, Inc.",News/Talk
KLUR,99.9 FM,Wichita Falls,Cumulus Licensing LLC,Country
KLUV,98.7 FM,Dallas,CBS Radio Texas Inc.,Classic Hits
KLUX,89.5 FM,Robstown,Diocesan Telecommunications Corp.,Catholic
KLVI,560 AM,Beaumont,Capstar TX LLC,News/Talk
KLVL,1480 AM,Pasadena,Siga Broadcasting Corporation,Spanish Christian
KLVQ,1410 AM,Athens,"Lake Country Radio, L.P.",
KLVT,1230 AM,Levelland,Cute Boots Broadcasting LLC,
KLVW,90.5 FM,Odessa,Educational Media Foundation,
KLXK,93.5 FM,Breckenridge,"Affiliated Media, Inc. FCC Trust",Country
KLYD,98.9 FM,Snyder,Delbert Foree,Modern Rock
KLZK,97.3 FM,New Deal,"Ramar Communications, Inc.",Hot Adult Contemporary
KLZT,107.1 FM,Bastrop,"Ennis Austin Radio Broadcasting Company, L.P.",Regional Mexican
KM2XVL,1220 AM,Huntsville,Leon Hunt,(Sync simulcast KMVL)
KMAD-FM,102.5 FM,Whitesboro,"NM License, LLC",Classic Rock
KMAT,105.1 FM,Seadrift,"Cordell Communications, Inc.",Religious
KMBH-FM,88.9 FM,Harlingen,"RGV Educational Broadcasting, Inc.",Public Radio
KMBL,1450 AM,Junction,"Foster Charitable Foundation, Inc.",Country
KMCM,96.9 FM,Odessa,"Brazos Communications West, LLC",Oldies
KMCU,88.7 FM,Wichita Falls,Cameron University,Public Radio
KMDX,106.1 FM,San Angelo,"Four R Broadcasting, Inc.",
KMEO,91.9 FM,Mertzon,American Family Association,Christian
KMFA,89.5 FM,Austin,"Capitol Broadcasting Association, Inc.",Classical
KMFR,1280 AM,Pearsall,"San Antonio Radioworks, LLC",Spanish Variety
KMHT,1450 AM,Marshall,"Hanszen Broadcast Group, Inc.",Sports
KMHT-FM,103.9 FM,Marshall,"Hanszen Broadcast Group, Inc.",Classic Country
KMIC,1590 AM,Houston,"Radio Disney Group, LLC",Radio Disney
KMIL,105.1 FM,Cameron,"Centex Broadcasting, LLC",Country
KMIQ,104.9 FM,Robstown,Cotton Broadcasting,Tejano
KMJQ,102.1 FM,Houston,"Radio One Licenses, LLC",Urban Adult Contemporary
KMJR,98.3 FM,Odem,"Tejas Broadcasting Ltd., LLP",Regional Mexican
KMKI,620 AM,Plano,"Radio Disney Dallas, LLC",Children's music
KMKS,102.5 FM,Bay City,"Sandlin Broadcasting Co., Inc.",Country
KMKT,93.1 FM,Bells,"NM License, LLC",Country
KMLR,106.3 FM,Gonzales,Educational Media Foundation,
KMMX,100.3 FM,Tahoka,Wilks License Company-Lubbock LLC,Top 40 (CHR)
KMMZ,101.3 FM,Crane,"Permian Basin Broadcasting, LLC",Spanish Norteno
KMND,1510 AM,Midland,"Townsquare Media Odessa-Midland II License, LLC",Sports
KMNY,1360 AM,Hurst,"Multicultural Radio Broadcasting Licensee, LLC",Spanish
KMOC,89.5 FM,Wichita Falls,"Christian Service Foundation, Inc.",Contemporary Christian
KMOO-FM,99.9 FM,Mineola,"Hightower Radio, Inc.",Country
KMPA,103.1 FM,Pittsburg,"Waller Media, LLC",Spanish Contemporary
KMPI,90.5 FM,McCoy,Maranatha Church of Laredo Incorporated,
KMQX,88.5 FM,Weatherford,CSSI Non-Profit Educational Broadcasting Corporation,Oldies
KMRA,91.1 FM,Monahans,Templo Piedra Angular,
KMRK-FM,96.1 FM,Odessa,"ICA Radio, Ltd.",Country
KMUL-FM,103.1 FM,Muleshoe,"Tallgrass Broadcasting, LLC",Hit Country
KMVK,107.5 FM,Fort Worth,CBS Radio Texas Inc.,Regional Mexican
KMVL,1220 AM,Madisonville,Leon Hunt,
KMVL-FM,100.5 FM,Madisonville,Leon Hunt,
KMWX,92.5 FM,Abilene,"Townsquare Media Abilene License, LLC",Adult Contemporary
KMXJ-FM,94.1 FM,Amarillo,"Townsquare Media Amarillo License, LLC",Hot Adult Contemporary
KMXO,1500 AM,Merkel,Zacarias Serrato,Spanish
KMXR,93.9 FM,Corpus Christi,Capstar TX LLC,Classic Hits
KMZZ,106.9 FM,Bishop,"Claro Communications, Ltd.",Regional Mexican
KNAF,910 AM,Fredericksburg,"Hill Country Broadcasting, LLC",Country
KNAF-FM,105.7 FM,Fredericksburg,"Hill Country Broadcasting, LLC",Country
KNAL,1410 AM,Victoria,"Victoria Radioworks, LLC",
KNAR,89.3 FM,San Angelo,Educational Media Foundation,
KNBT,92.1 FM,New Braunfels,"New Braunfels Communications, Inc.",Americana
KNCH,90.1 FM,San Angelo,Texas Tech University,Public Radio
KNCN,101.3 FM,Sinton,Capstar TX LLC,Active Rock
KNCT-FM,91.3 FM,Killeen,Central Texas College,Easy Listening
KNDA,102.9 FM,Alice,Encarnacion A. Guerra,Urban Contemporary
KNDE,95.1 FM,College Station,Bryan Broadcasting License Corporation,Top 40 (CHR)
KNEL,1490 AM,Brady,"Farris Broadcasting, Inc.",Oldies
KNEL-FM,95.3 FM,Brady,"Farris Broadcasting, Inc.",Country
KNES,99.1 FM,Fairfield,"J & J Communications, Inc.",Country
KNET,1450 AM,Palestine,"Tomlinson-Leis Communications, L.P.",Talk/Sports
KNEX,106.1 FM,Laredo,MBM Radio Laredo LLC,Rhythmic Adult Contemporary
KNFM,92.3 FM,Midland,"Townsquare Media Odessa-Midland II License, LLC",Country
KNFX-FM,99.5 FM,Bryan,"CC Licenses, LLC",Classic Rock
KNGR,1560 AM,Daingerfield,Network Communications Company,
KNIN-FM,92.9 FM,Wichita Falls,"Townsquare Media Wichita Falls License, LLC",Top 40 (CHR)
KNLE-FM,88.1 FM,Round Rock,"Ixoye Productions, Inc.","Religious, Contemporary Christian"
KNLY,91.1 FM,New Waverly,Centro Cristiano de Vida Eterna,
KNNK,100.5 FM,Dimmitt,"High Plains Radio Network, Inc.",Southern Gospel
KNON,89.3 FM,Dallas,"Agape Broadcasting Foundation, Inc.","Community, Variety"
KNOR,93.7 FM,Krum,Liberman Broadcasting of Dallas License LLC,Regional Mexican
KNRB,100.1 FM,Atlanta,"Family Worship Center Church, Inc.",Contemporary Christian
KNRG,92.3 FM,New Ulm,Roy E. Henderson TR/AS New Ulm Broadcasting Co.,
KNRX,96.5 FM,Sterling City,"Townsquare Media San Angelo License, LLC",Classic Rock
KNSH,1550 AM,Canyon,Cumulus Licensing LLC,Talk
KNTE,101.7 FM,Bay City,Liberman Broadcasting of Houston License LLC,Regional Mexican
KNTH,1070 AM,Houston,"South Texas Broadcasting, Inc.",News/Talk
KNTU,88.1 FM,Denton/McKinney,University of North Texas,Jazz
KNTX,1410 AM,Bowie,"Henderson Broadcasting Company, L.P.",Oldies/Community
KNUE,101.5 FM,Tyler,"Townsquare Media Tyler License, LLC",Country
KNUZ,106.1 FM,San Saba,Roy E. Henderson,Country
KNVO-FM,101.1 FM,Port Isabel,"Entravision Holdings, LLC",Contemporary Christian
KNVR,1410 AM,San Saba,Roy E. Henderson,
KODA,99.1 FM,Houston,AMFM Texas Licenses LLC,Adult Contemporary
KODM,97.9 FM,Odessa,"Townsquare Media Odessa-Midland II License, LLC",Soft Rock
KOFX,92.3 FM,El Paso,"Entravision Holdings, LLC",Classic Hits
KOGC,88.3 FM,Wheeler,Top O' Texas Educational Broadcasting Foundation,
KOGT,1600 AM,Orange,"G-Cap Communications, Inc.",Country
KOGW,91.7 FM,Stratford,Top O' Texas Educational Broadcasting Foundation,
KOIR,88.5 FM,Edinburg,"Rio Grande Bible Institute, Inc.",Religious
KOKE,1600 AM,Pflugerville,"Encino Broadcasting, LLC",
KOKE-FM,99.3 FM,Thorndale,"Genuine Austin Radio, LP",Stunting
KOLE,1340 AM,Port Arthur,Birach Broadcasting Corporation,
KOLF-LP,100.7 FM,Plainview,Sacred Heart Educational Association,
KOLI,94.9 FM,Electra,Cumulus Licensing LLC,Country
KOLJ,1150 AM,Quanah,"James G. Boles, Jr.",
KOME-FM,95.3 FM,Meridian,"LKCM Radio Group, LP",
KOMX,100.3 FM,Pampa,"Pampa Broadcasters, Inc.",Country
KONE,101.1 FM,Lubbock,Wilks License Company-Lubbock LLC,Classic Rock
KONO,860 AM,San Antonio,"Cox Radio, Inc.",Sports
KONO-FM,101.1 FM,Helotes,"Cox Radio, Inc.",Classic Hits
KOOC,106.3 FM,Belton,"Townsquare Media Bloomington License, LLC",Rhythmic Contemporary
KOOI,106.5 FM,Jacksonville,Access.1 TExas License Company LLC,Classic Hits
KOOK,93.5 FM,Junction,"Foster Charitable Foundation, Inc.",Country
KOOP,91.7 FM,Hornsby,"Texas Educational Broadcasting Co-operative, Inc.",Community Radio
KOOV,106.9 FM,Kempner,"M&M Broadcasters, Ltd.",Country
KOPE,88.9 FM,Eldorado,The Center for Education Nonprofit Corp.,
KOPY,1070 AM,Alice,"Claro Communications, Ltd.",Sports Talk
KOPY-FM,92.1 FM,Alice,"Claro Communications, Ltd.",Tejano
KORA-FM,98.3 FM,Bryan,"Brazos Valley Communications, Ltd.",Country
KORG-LP,105.3 FM,Cleveland,"Operation Refuge, Inc.",
KORQ,95.1 FM,Baird,Community Broadcast Partners LLC,Country
KOTX,98.7 FM,Hebbronville,Jose Antonio Aguilar,
KOTY,95.7 FM,Mason,Bryan A. King,Oldies
KOVE-FM,106.5 FM,Galveston,Univision Radio License Corporation,Oldies
KOXE,101.3 FM,Brownwood,Brown County Broadcasting Co.,Country
KOYE,96.7 FM,Frankston,Access.1 Texas License Company LLC,Regional Mexican
KOYN,93.9 FM,Paris,"East Texas Broadcasting, Inc.",Country
KOZA,1230 AM,Odessa,"Stellar Media, Inc.",Spanish
KPAC,88.3 FM,San Antonio,Texas Public Radio,Classical
KPAL,91.3 FM,Palacios,Centro Cristiano de Vida Eterna,
KPAN,860 AM,Hereford,KPAN Broadcasters,Country
KPAN-FM,106.3 FM,Hereford,KPAN Broadcasters,Country
KPAS,103.1 FM,Fabens,Algie A. Felder,Christian
KPBC-LP,93.1 FM,Childress,Parkview Baptist Church,
KPCO-FM,89.9 FM,Cooper,Iglesia Cristiana Ebenezer,
KPDE,91.5 FM,Eden,La Promesa Foundation,
KPDR,90.3 FM,Wheeler,Top O' Texas Educational Broadcasting Foundation,Religious
KPEP,106.5 FM,Eldorado,Tenn-Vol Corp.,Classic Country
KPET,690 AM,Lamesa,DCB License Sub LLC,Country/News/Talk
KPEZ,102.3 FM,Austin,"CC Licenses, LLC",Rhythmic contemporary
KPFC,91.9 FM,Callisburg,Camp Sweeney,Variety
KPFT,90.1 FM,Houston,"Pacifica Foundation, Inc.",Public Radio
KPGA,91.9 FM,Morton,Educational Media Foundation,
KPHS,90.3 FM,Plains,Plains Independent School District,High School Radio
KPIA-LP,102.5 FM,Huntsville,St. Thomas Educational Association,
KPIR,1420 AM,Granbury,"KPIR Granbury, LLC",Talk
KPIT,91.7 FM,Pittsburg,"Jabella Broadcasting Network, Inc.",
KPKO,91.3 FM,Pecos,American Family Association,
KPLT,1490 AM,Paris,"East Texas Broadcasting, Inc.",News Talk Information
KPLT-FM,107.7 FM,Paris,"East Texas Broadcasting, Inc.",Adult Contemporary
KPLX,99.5 FM,Fort Worth,"KPLX Lico, Inc.",Modern Country
KPMA-FM,91.9 FM,Archer City,"Templo de Dios, Inc. 1",
KPMB,88.5 FM,Plainview,Paulino Bernal Evangelism,Spanish Religious
KPRC,950 AM,Houston,"CC Licenses, LLC",
KPRF,98.7 FM,Amarillo,"Townsquare Media Amarillo License, LLC",Adult Hits
KPRR,102.1 FM,El Paso,"CC Licenses, LLC",Rhythmic Contemporary
KPSM,99.3 FM,Brownwood,"BLM of Brownwood, Inc.",
KPSO-FM,106.3 FM,Falfurrias,Brooks Broadcasting Corporation,Country
KPTJ,104.5 FM,Grape Creek,La Unica Broadcasting Co.,
KPTX,98.3 FM,Pecos,"Parday, Inc.",Adult Contemporary
KPUR,1440 AM,Amarillo,Cumulus Licensing LLC,Sports
KPUR-FM,107.1 FM,Canyon,Cumulus Licensing LLC,Country
KPUS,104.5 FM,Gregory,Convergent Broadcasting II LLC,Classic Rock
KPVU,91.3 FM,Prairie View,Prairie View A&M University,College radio/Variety/Urban
KPWJ,107.7 FM,Kurten,Bryan Broadcasting License Corporation,Contemporary Christian
KPWW,95.9 FM,Hooks,"Townsquare Media Texarkana License, LLC",Top 40 (CHR)
KPXI,100.7 FM,Overton,Jerry T. Hanszen,Country
KPYK,1570 AM,Terrell,"Mohnkern Electronics, Inc.",
KPYN,900 AM,Atlanta,Freed AM Corp.,
KQAT-LP,104.9 FM,Hallsville,Hallsville Independent School District,
KQBB,100.5 FM,Center,"Center Broadcasting Company, Inc.",Country
KQBI,91.7 FM,Encinal,Centro Cristiano de Vida Eterna,
KQBO,107.5 FM,Rio Grande City,"Sound Investments Unlimited, Inc.",Spanish
KQBR,99.5 FM,Lubbock,"Townsquare Media Lubbock License, LLC",Country
KQBT,93.7 FM,Houston,Capstar TX LLC,Urban Contemporary
KQBU,920 AM,El Paso,Tichenor License Corporation,
KQBU-FM,93.3 FM,Port Arthur,Tichenor License Corporation,Regional Mexican
KQBZ,96.9 FM,Brownwood,Tackett-Boazman Broadcasting LP,
KQCI,91.5 FM,Freer,Centro Cristiano Cosecha Final,
KQDR,107.3 FM,Savoy,Prophecy Radio Group,Contemporary Hit Radio
KQFX,104.3 FM,Borger,"Tejas Broadcasting Ltd., LLP",Regional Mexican
KQFZ-FM,89.1 FM,Valley View,"Templo de Dios, Inc. 1",
KQHM,102.7 FM,Zapata,"Hispanic Target Media, Inc.",
KQHN,97.3 FM,Waskom,Cumulus Licensing LLC,Top 40 (CHR)
KQIZ-FM,93.1 FM,Amarillo,Cumulus Licensing LLC,Rhythmic Top 40
KQLC,90.7 FM,Sealy,"L.C. Orrick Outreach, Inc.",
KQLM,107.9 FM,Odessa,"Stellar Media, Inc.",Spanish
KQLP-LP,97.3 FM,Purley,"KMZC Radio, Inc.",
KQMD,88.1 FM,Quemado,Multimedeos Radio Ola,
KQMJ,104.7 FM,Blanket,Tracy McCutchen,
KQOA,91.1 FM,Morton,La Promesa Foundation,
KQOS,91.7 FM,Albany,La Promesa Foundation,
KQPA-FM,91.9 FM,Paris,Iglesia Cristiana Ebenezer,
KQQB,1520 AM,Stockdale,The Raftt Corporation,
KQQK,107.9 FM,Beaumont,Liberman Broadcasting of Houston License LLC,Regional Mexican
KQRX,95.1 FM,Midland,"Brazos Communications West, LLC",Active Rock
KQTY,1490 AM,Borger,Zia Broadcasting Company,Talk
KQTY-FM,106.7 FM,Borger,Zia Broadcasting Company,Country
KQUE,980 AM,Rosenburg/Richmond,"Daij Media, LLC",
KQUR,94.9 FM,Laredo,"Border Broadcasters, Inc.",Classic Rock
KQVI-FM,89.9 FM,Cedar Lake,Centro Cristiano de Vida Eterna,
KQVT,92.3 FM,Victoria,"Townsquare Media Victoria License, LLC",Hot Adult Contemporary
KQXB,89.9 FM,Breckenridge,CSSI Non-Profit Educational Broadcasting Corp.,
KQXC-FM,103.9 FM,Wichita Falls,Cumulus Licensing LLC,Rhythmic Top 40
KQXE,91.1 FM,Eastland,CSSI Non-Profit Educational Broadcasting Corporation,
KQXS,89.1 FM,Stephenville,CSSI Non-Profit Educational Broadcasting Corporation,
KQXT-FM,101.9 FM,San Antonio,"CC Licenses, LLC",Adult Contemporary
KQXX-FM,105.5 FM,Mission,"Clear Channel Broadcasting Licenses, Inc.",Classic Rock
KQXY-FM,94.1 FM,Beaumont,Cumulus Licensing LLC,Adult Top 40 (CHR)
KRAF,88.3 FM,Fort Stockton,Christian Television Radio Ministry,
KRBA,1340 AM,Lufkin,Kasa Family Limited Partnership,
KRBE,104.1 FM,Houston,Radio License Holding SRC LLC,Top 40 (CHR)
KRBG,88.7 FM,Umbarger,"Grace Christian Church of Amarillo, Inc.",
KRBL,105.7 FM,Idalou,Albert G. Benavides and Ricky G. Benavides,Alternative Rock
KRCM,1380 AM,Shenandoah,"Daij Media, LLC",
KRDY,1160 AM,San Antonio,"South Texas Broadcasting, Inc.",Radio Disney
KREH,900 AM,Pecan Grove,"Bustos Media Holdings, L.L.C.",
KREW,1400 AM,Plainview,"Rhattigan Broadcasting (Texas), LP",
KRFE,580 AM,Lubbock,"KRFE Radio, Inc.",
KRGE,1290 AM,Weslaco,Christian Ministries of the Valley,Spanish
KRGX,95.1 FM,Rio Grande City,"95.1 Investments, LLC",
KRIA,103.9 FM,Plainview,"Rhattigan Broadcasting (Texas), LP",Classic Rock
KRIK,100.5 FM,Refugio,Hispanic Target Media,Country
KRIO,910 AM,Mcallen,"Rio Grande Bible Institute, Inc.",Christian
KRIO-FM,97.7 FM,Roma,"Rio Grande Bible Institute, Inc.",Christian
KRLD,1080 AM,Dallas,CBS Radio Texas Inc.,All-News Radio
KRLD-FM,105.3 FM,Dallas,CBS Radio Texas Inc.,Sports
KRLH,90.9 FM,Hereford,Educational Media Foundation,
KRMX,92.9 FM,Marlin,"M&M Broadcasters, Ltd.",Country
KRMY,1050 AM,Killeen,"Martin Broadcasting, Inc.",
KRNB,105.7 FM,Decatur,"Service Broadcasting Group, LLC",Urban Adult Contemporary
KRNH,92.3 FM,Kerrville,"Radio Ranch, Ltd.",Country
KRNZ,88.1 FM,Gonzales,Educational Media Foundation,
KROB,1510 AM,Robstown,B Communications Joint Venture,Tejano
KROD,600 AM,El Paso,"Townsquare Media of El Paso, Inc.",Sports
KROI,92.1 FM,Seabrook,"Radio One Licenses, LLC",Old School Hip Hop
KROM,92.9 FM,San Antonio,Tichenor License Corporation,Regional Mexican
KROO,1430 AM,Breckenridge,"Affiliated Media, Inc. FCC Trust",Adult Contemporary
KROX-FM,101.5 FM,Buda,"Emmis Austin Radio Broadcasting Company, L.P.",Alternative Rock/Indie Rock
KROY,99.7 FM,Palacios,Roy E. Henderson,Country (Simulcast of KTWL)
KRPT,92.5 FM,Devine,"CC Licenses, LLC",Classic Country
KRRG,98.1 FM,Laredo,Encarnacion A. Guerra,Country
