Format,Call Letters,Market,Station Name
Canada: AC,CKMB,"Barrie, ON ",107.5 KOOL FM
Canada: AC,CKMF,"Montreal, QC ",NRJ 94.3
Canada: AC,CKNG,"Edmonton, AB ",92.5 FRESH FM
Canada: AC,CKNI,"Moncton, NB ",91.9 THE BEND
Canada: AC,CKNO,"Edmonton, AB ",102.3 FM NOW! RADIO
Canada: AC,CKPC,"Kitchener, ON ",FM92 THE JEWEL
Canada: AC,CKPT,"Peterborough, ON ",ENERGY 99.7
Canada: AC,CKQQ,"Kelowna, BC ",Q103
Canada: AC,CKRA,"Edmonton, AB ",96.3 CAPITAL FM
Canada: AC,CKRB,"St-Georges-De-Beauce, QC ","COOL FM 103,5"
Canada: AC,CKRI,"Red Deer, AB ",100.7 CRUZ FM
Canada: AC,CKRU,"Peterborough, ON ",HITS 100.5
Canada: AC,CKSG,"Peterborough, ON ",STAR 93.3
Canada: AC,CKSJ,"St. John's, NL ",COAST 101.1
Canada: AC,CKUE,"Windsor, ON ",LITE FM
Canada: AC,CKVM,"Ville-Marie, QC ","FM 93,1"
Canada: AC,CKWS,"Kingston, ON ",GREATEST HITS 104.3
Canada: AC,CKY,"Winnipeg, MB ",102.3 CLEAR FM
Canada: AC,CKYQ,Trois-Rivieres,KYQ FM
Canada: AC,CKZZ,"Vancouver, BC ",Z95.3
Canada: AC,SXFR,Networks,SIRIUS XM - INFLUENCE FRANCO
Canada: Country,CFCW-AM,"Edmonton, AB ",790 CFCW
Canada: Country,CFQX,"Winnipeg, MB ",QX 104
Canada: Country,CHBD,"Regina, SK ",BIG DOG 92.7
Canada: Country,CHCQ,"Belleville, ON ",COOL 100
Canada: Country,CHFX,"Halifax, NS ",FX 101.9
Canada: Country,CHKX,"Hamilton, ON ",KX 94.7
Canada: Country,CHLB,"Lethbridge, AB ",COUNTRY 95.5
Canada: Country,CHSJ,"Saint John, NB ",COUNTRY 94.1
Canada: Country,CICS,"Sudbury, ON ",KICX 91.7
Canada: Country,CICX,"Barrie, ON ",KICX 106
Canada: Country,CIGV,"Penticton, BC ",COUNTRY 100.7
Canada: Country,CIKZ,"Kitchener, ON ",COUNTRY 106.7
Canada: Country,CILG,"Regina, SK ",COUNTRY 100
Canada: Country,CISN,"Edmonton, AB ",CISN 103.9 FM
Canada: Country,CJBX,"London, ON ",BX 93
Canada: Country,CJJR,"Vancouver, BC ",93.7 JR FM
Canada: Country,CJKX,"Toronto, ON ",KX 96
Canada: Country,CJWF,"Windsor, ON ",COUNTRY 95.9
Canada: Country,CJWW-AM,"Saskatoon, SK ",CJWW 600
Canada: Country,CJXL,"Moncton, NB ",XL 96.9 FM
Canada: Country,CKBL,"Saskatoon, SK ",92.9 THE BULL
Canada: Country,CKBY,"Ottawa, ON ",COUNTRY 101.1
Canada: Country,CKDK,"London, ON ",COUNTRY 104
Canada: Country,CKDQ-AM,"Calgary, AB ",Q91
Canada: Country,CKGY,"Red Deer, AB ",KG COUNTRY
Canada: Country,CKHJ-AM,"Fredericton, NB ",1260 AM
Canada: Country,CKQC,"Vancouver, BC ",COUNTRY 107.1 FM
Canada: Country,CKQM,"Peterborough, ON ",COUNTRY 105
Canada: Country,CKRM-AM,"Regina, SK ",620 CKRM
Canada: Country,CKRY,"Calgary, AB ",COUNTRY 105
Canada: Country,CKXC,"Kingston, ON ",KIX COUNTRY 93.5
Canada: Rock,CBC2,Networks,CBC RADIO 2
Canada: Rock,CFBR,"Edmonton, AB ",100.3 THE BEAR
Canada: Rock,CFDV,"Red Deer, AB ",106.7 THE DRIVE
Canada: Rock,CFEX,"Calgary, AB ",X92.9 FM
Canada: Rock,CFGQ,"Calgary, AB ",Q107
Canada: Rock,CFJB,"Barrie, ON ",ROCK 95
Canada: Rock,CFMI,"Vancouver, BC ",CLASSIC ROCK 101
Canada: Rock,CFMK,"Kingston, ON ",KINGSTON'S FM96
Canada: Rock,CFNY,"Toronto, ON ",102.1 THE EDGE
Canada: Rock,CFOX,"Vancouver, BC ",99.3 THE FOX
Canada: Rock,CFPL,"London, ON ",FM 96
Canada: Rock,CFQM,"Moncton, NB ",103.9 MAX FM
Canada: Rock,CFRQ,"Halifax, NS ",Q104
Canada: Rock,CFTX,"Ottawa, ON ",TAGRADIO
Canada: Rock,CFWF,"Regina, SK ",THE WOLF
Canada: Rock,CFXY,"Fredericton, NB ",THE FOX 105.3
Canada: Rock,CHDI,"Edmonton, AB ",SONIC 102.9
Canada: Rock,CHEZ,"Ottawa, ON ",CHEZ 106
Canada: Rock,CHLG,"Vancouver, BC ",LG 104.3
Canada: Rock,CHNI,"Saint John, NB ",ROCK 88.9
Canada: Rock,CHOM,"Montreal, QC ",CHOM 97.7 FM
Canada: Rock,CHPK,"Calgary, AB ",95.3 THE PEAK
Canada: Rock,CHTZ,"St. Catharines, ON ",97.7 HTZ FM
Canada: Rock,CHXX,"Quebec City, QC ",ROCK 100.9
Canada: Rock,CICZ,"Barrie, ON ",THE DOCK 104.1
Canada: Rock,CIDG,"Ottawa, ON ",101.9 DAWG FM
Canada: Rock,CIKR,"Kingston, ON ",K ROCK 105.7
Canada: Rock,CILQ,"Toronto, ON ",Q 107
Canada: Rock,CILV,"Ottawa, ON ",LIVE 88.5
Canada: Rock,CIND,"Toronto, ON ",INDIE88
Canada: Rock,CIRK,"Edmonton, AB ",K-ROCK 97.3
Canada: Rock,CITI,"Winnipeg, MB ",92 CITI
Canada: Rock,CIXL,"St. Catharines, ON ",GIANT FM
Canada: Rock,CIZZ,"Red Deer, AB ",Z-99 FM
Canada: Rock,CJAY,"Calgary, AB ",CJAY 92
Canada: Rock,CJDJ,"Saskatoon, SK ",ROCK 102
Canada: Rock,CJDV,"Kitchener, ON ",DAVE 107.5 FM
Canada: Rock,CJKR,"Winnipeg, MB ",POWER 97
Canada: Rock,CJMF,"Quebec City, QC ",LE 93.3
Canada: Rock,CJMO,"Moncton, NB ",C103
Canada: Rock,CJRQ,"Sudbury, ON ",SUDBURY'S BEST ROCK Q92
Canada: Rock,CJRX,"Lethbridge, AB ",ROCK 106
Canada: Rock,CJSS,"Cornwall, ON ",GREATEST HITS CJSS 101.9
Canada: Rock,CJXY,"Hamilton, ON ",Y108
Canada: Rock,CJZN,"Victoria, BC ",THE ZONE
Canada: Rock,CKAV,"Toronto, ON ",ABORIGINAL VOICES RADIO
Canada: Rock,CKGE,"Toronto, ON ",94.9 THE ROCK
Canada: Rock,CKHY,"Halifax, NS ",LIVE 105
Canada: Rock,CKKO,"Kelowna, BC ",K 96.3
Canada: Rock,CKKQ,"Victoria, BC ",100.3 THE Q!
Canada: Rock,CKLC,"Kingston, ON ",98.9 THE DRIVE
Canada: Rock,CKLO,"London, ON ",98.1 FREE FM
Canada: Rock,CKLZ,"Kelowna, BC ",POWER 104
Canada: Rock,CKPK,"Vancouver, BC ",102.7 THE PEAK
Canada: Rock,CKUL,"Halifax, NS ",RADIO 965 FM
Canada: Rock,CKWF,"Peterborough, ON ",THE WOLF 101.5
Canada: Rock,SIIC,Networks,SIRIUS XM - ICEBERG
Canada: Rock,SXCH,Networks,SIRIUS XM - CHANSONS
Canada: Rock,VOCM,"St. John's, NL ",K-ROCK 97.5
Canada: Rock,XVER,Networks,SIRIUS XM - THE VERGE
Canada: Top Forty,CFBT,"Vancouver, BC ",THE BEAT 94.5
Canada: Top Forty,CFEL,"Quebec City, QC ",CKOI 102.1 FM
Canada: Top Forty,CFJO,Trois-Rivieres,O 97.3
Canada: Top Forty,CFLZ,"St. Catharines, ON ",2DAY FM
Canada: Top Forty,CFMG,"Edmonton, AB ",VIRGIN RADIO 1049 FM
Canada: Top Forty,CFRK,"Fredericton, NB ",HOT 92.3
Canada: Top Forty,CFUN,"Vancouver, BC ",SONIC HITS NOW
Canada: Top Forty,CFXJ,"Toronto, ON ",FLOW 93.5
Canada: Top Forty,CHBN,"Edmonton, AB ",91.7 THE BOUNCE
Canada: Top Forty,CHSU,"Kelowna, BC ",SUN FM
Canada: Top Forty,CHWE,"Winnipeg, MB ",ENERGY 106
Canada: Top Forty,CIBK,"Calgary, AB ",98-5 VIRGIN RADIO
Canada: Top Forty,CIBM,"Riviere-du-Loup, QC ",FM 107
Canada: Top Forty,CICF,"Vernon, BC ",105.7 SUN FM
Canada: Top Forty,CIDC,"Toronto, ON ",Z 103.5
Canada: Top Forty,CIGB,Trois-Rivieres,NRJ 102.3
Canada: Top Forty,CIGM,"Sudbury, ON ",HOT 93.5
Canada: Top Forty,CIHT,"Ottawa, ON ",HOT 89.9 FM
Canada: Top Forty,CIKI,"Rimouski, QC ",NRJ 98.7
Canada: Top Forty,CIMO,"Sherbrooke, QC ",NRJ 106.1 ESTRIE
Canada: Top Forty,CIPC,"Port-Cartier, QC ",RADIOACTIVE 99.1
Canada: Top Forty,CIQB,"Barrie, ON ",B101
Canada: Top Forty,CIQM,"London, ON ",VIRGIN RADIO 97.5
Canada: Top Forty,CIRR,"Toronto, ON ",103.9 PROUD FM
Canada: Top Forty,CJAB,"Saguenay, QC ",NRJ 94.5
Canada: Top Forty,CJBZ,"Lethbridge, AB ",B-93.3
Canada: Top Forty,CJCH,"Halifax, NS ",101.3 THE BOUNCE
Canada: Top Forty,CJMM,"Rouyn-Noranda, QC ",NRJ 99.1
Canada: Top Forty,CJMV,"Rouyn-Noranda, QC ",NRJ 102.7
Canada: Top Forty,CJNW,"Edmonton, AB ",HOT 107
Canada: Top Forty,CKBT,"Kitchener, ON ",91.5 THE BEAT
Canada: Top Forty,CKFG,"Toronto, ON ",G98.7
Canada: Top Forty,CKFM,"Toronto, ON ",VIRGIN RADIO 999 FM
Canada: Top Forty,CKIK,"Red Deer, AB ",KRAZE 101.3
Canada: Top Forty,CKIS,"Toronto, ON ",KISS 92.5
Canada: Top Forty,CKIX,"St. John's, NL ",99.1 HITS FM
Canada: Top Forty,CKMM,"Winnipeg, MB ",103-1 VIRGIN RADIO
Canada: Top Forty,CKMP,"Calgary, AB ",90.3 AMP RADIO
Canada: Top Forty,CKOI,"Montreal, QC ",96.9 CKOI
Canada: Top Forty,CKQB,"Ottawa, ON ",JUMP! 106.9
Canada: Top Forty,CKTF,"Ottawa, ON ",NRJ 104.1
Canada: Top Forty,WLYK,"Watertown, NY ",KISS 102.7
Canada: Top Forty,XDIS,Networks,RADIO DISNEY
Christian,EFRN,Networks,EFFECT RADIO
Christian,FLNW,Networks,FAMILY LIFE NETWORK
Christian,KADI,"Springfield, MO ",99 HIT FM
Christian,KAIM,"Honolulu, HI ",THE FISH 95.5 FM
Christian,KBIQ,"Colorado Springs, CO ",Q 102.7
Christian,KBNJ,"Corpus Christi, TX ",LIFE CHANGING KBNJ 91.7 FM
Christian,KCMS,"Seattle-Tacoma, WA ",SPIRIT 1053
Christian,KCXR,"Tulsa, OK ",100.3 KCXR
Christian,KDUV,"Fresno, CA ",SPIRIT 88.9
Christian,KFIS,"Portland, OR ",104.1 THE FISH
Christian,KFMK,"Austin, TX ",SPIRIT 105.9
Christian,KFSH,"Los Angeles, CA ",THE FISH 95.9 FM
Christian,KGBI,"Omaha, NE ",100.7 THE FISH
Christian,KHJK,"Houston-Galveston, TX ",AIR1
Christian,KJNW,"Kansas City, MO-KS ",LIFE 88.5
Christian,KKFS,"Sacramento, CA ",THE FISH 103.9 FM
Christian,KKLV,"Salt Lake City, UT ",107.5 K-LOVE
Christian,KLDV,"Denver, CO ",K-LOVE
Christian,KLFF,"San Luis Obispo, CA ",K-LIFE FM
Christian,KLJY,"St. Louis, MO ",JOY FM
Christian,KLRD,"Riverside-San Bernardino, CA ",AIR1
Christian,KLTY,"Dallas-Ft. Worth, TX ",SAFE FOR THE WHOLE FAMILY
Christian,KLVA,"Phoenix, AZ ",K-LOVE
Christian,KLVP,"Portland, OR ",K-LOVE
Christian,KLYT,"Albuquerque, NM ",STATIC RADIO
Christian,KNOF,"Minneapolis-St. Paul, MN ",PRAISE FM
Christian,KNWI,"Des Moines, IA ",LIFE 107.1
Christian,KOKF,"Oklahoma City, OK ",AIR1
Christian,KPUL,"Des Moines, IA ",THE PULSE 99.5 FM
Christian,KRNG,"Reno, NV ",RENEGADE RADIO 101.3
Christian,KSBJ,"Houston-Galveston, TX ",89.3 KSBJ GOD LISTENS
Christian,KSGN,"Riverside-San Bernardino, CA ",KSGN 89.7 FAMILY FRIENDLY
Christian,KSOS,"Las Vegas, NV ",SOS RADIO
Christian,KTIS,"Minneapolis-St. Paul, MN ",98.5 KTIS
Christian,KTLI,"Wichita, KS ",K-LOVE
Christian,KTSY,"Boise, ID ",89.5 FM KTSY
Christian,KVMV,"McAllen-Brownsville, TX ",96.9 KVMV
Christian,KVRK,"Dallas-Ft. Worth, TX ",89.7 POWER FM
Christian,KWND,"Springfield, MO ",88.3 THE WIND FM
Christian,KWPZ,"Seattle-Tacoma, WA ",PRAISE 106.5
Christian,KXOJ,"Tulsa, OK ",KX0J 100.9
Christian,KXWA,"Denver, CO ",101.9 WAY-FM
Christian,KYCC,"Stockton, CA ",K-YCC RADIO
Christian,KYDA,"Dallas-Ft. Worth, TX ",AIR1
Christian,KYLV,"Oklahoma City, OK ",K-LOVE
Christian,KZAI,"Phoenix, AZ ",AIR1
Christian,KZAR,"San Antonio, TX ",AIR1
Christian,KZLV,"San Antonio, TX ",K-LOVE
Christian,SXMS,Networks,SIRIUS XM - THE MESSAGE
Christian,WAFJ,"Augusta, GA ",FAMILY FRIENDLY 88.3 WAFJ
Christian,WAKW,"Cincinnati, OH ",STAR 93.3 FM
Christian,WAWZ,"Monmouth-Ocean, NJ ",STAR 99.1 FM
Christian,WAYF,"West Palm Beach-Boca Raton, FL ",88.1 WAY-FM
Christian,WAYJ,"Ft. Myers-Naples, FL ",100.5 WAY-FM
Christian,WAYM,"Nashville, TN ",88.7 WAY-FM
Christian,WBDX,"Chattanooga, TN ",J103
Christian,WBFJ,"Greensboro-Winston Salem, NC ",YOUR FAMILY STATION
Christian,WBHY,"Mobile, Al ",POWER 88.5 FM
Christian,WBSN,"New Orleans, LA ",LIFESONGS
Christian,WBVM,"Tampa-St. Petersburg, FL ",SPIRIT 90.5 FM
Christian,WCIE,"Tampa-St. Petersburg, FL ",THE JOY FM 91.5
Christian,WCQR,"Johnson City-Kingsport-Bristol, TN-VA ",88.3 FM WCQR
Christian,WCRJ,"Jacksonville, FL ",K-LOVE
Christian,WCSG,"Grand Rapids, MI ",91.3 WCSG
Christian,WCVO,"Columbus, OH ",104.9 THE RIVER
Christian,WDJC,"Birmingham, AL ",93 WDJC
Christian,WFFH,"Nashville, TN ",94 FM THE FISH
Christian,WFHM,"Cleveland, OH ",95.5 FM THE FISH
Christian,WFSH,"Atlanta, GA ",104.7 FM THE FISH
Christian,WGTS,"Washington, DC ",WGTS 91.9 FM
Christian,WHJT,"Jackson, MS ",93.5 WAY-FM
Christian,WHZN,"Indianapolis, IN ",88.3 FM THE WALK
Christian,WJIE,"Louisville, KY ",TODAY'S BEST CHRISTIAN MUSIC
Christian,WJKL,"Chicago, IL ",K-LOVE
Christian,WJLZ,"Norfolk-Virginia Beach, VA ",THE CURRENT
Christian,WJQK,"Grand Rapids, MI ",JQ99.3
Christian,WJTL,"Lancaster, PA ",WJTL FM 90.3 - THE BEST MIX
Christian,WKCD,"Dayton, OH ",K-LOVE
Christian,WKLU,"Indianapolis, IN ",K-LOVE
Christian,WKLV,"New York, NY ",K-LOVE
Christian,WLAB,"Ft. Wayne, IN ",STAR 88.3
Christian,WLFJ,"Greenville-Spartanburg, SC ",HIS RADIO
Christian,WLGH,"Lansing-East Lansing, MI ",SMILE FM
Christian,WLVE,"Milwaukee, WI ",K-LOVE
Christian,WLVU,"Nashville, TN ",K-LOVE
Christian,WMBI,"Chicago, IL ",MOODY RADIO
Christian,WMHK,"Columbia, SC ",89.7 WMHK FAMILY FRIENDLY
Christian,WMIT,"Johnson City-Kingsport-Bristol, TN-VA ",106.9 THE LIGHT
Christian,WMSJ,"Portland-Poland Spring, ME ",POSITIVE 89.3 FM
Christian,WMUZ,"Detroit, MI ",103.5 FM - THE LIGHT
Christian,WNWC,"Madison, WI ",LIFE 102.5
Christian,WONU,"Chicago, IL ",SHINE.FM 89.7
Christian,WORD,"Pittsburgh, PA ",WORD FM
Christian,WORQ,"Green Bay, WI ",Q90 FM
Christian,WPAR,"Roanoke-Lynchburg, VA ",SPIRIT FM
Christian,WPLL,"Gainesville-Ocala, FL ",106.9 THE PULSE
Christian,WPOZ,"Orlando, FL ",Z88.3 FM
Christian,WRBS,"Baltimore, MD ",95.1 SHINE FM
Christian,WRCM,"Charlotte, NC ",91.9 NEW LIFE
Christian,WSYI,"Louisville, KY ",SHINE 105.9
Christian,WTRJ,"Jacksonville, FL ",91.7 THE PROMISE
Christian,WUFM,"Columbus, OH ",RADIO U
Christian,WUGN,"Saginaw-Bay City-Midland, MI ",FAMILY LIFE RADIO
Christian,WVFJ,"Atlanta, GA ",ATLANTA'S J93.3
Christian,WYLV,"Knoxville, TN ",K-LOVE
Christian,WYSZ,"Toledo, OH ",YES FM
Classic Hits,KBEZ,"Tulsa, OK ",BOB FM 92.9
Classic Hits,KCCL,"Sacramento, CA ",K-HITS 101.5
Classic Hits,KCKK-AM,"Denver, CO ",THE ROCK
Classic Hits,KCMO,"Kansas City, MO-KS ",94.9 KCMO
Classic Hits,KEYF,"Spokane, WA ",101.1 FM
Classic Hits,KEZW-AM,"Denver, CO ",STUDIO 1430
Classic Hits,KJR,"Seattle-Tacoma, WA ",95.7 THE JET
Classic Hits,KJUL,"Las Vegas, NV ",KJUL 104.7 FM
Classic Hits,KKLZ,"Las Vegas, NV ",96.3 KKLZ CLASSIC HITS
Classic Hits,KKOL,"Honolulu, HI ",KOOL GOLD 107.9
Classic Hits,KLOU,"St. Louis, MO ",OLDIES 103.3
Classic Hits,KLTH,"Portland, OR ",106.7 THE EAGLE
Classic Hits,KLUV,"Dallas-Ft. Worth, TX ",98.7 K-LUV
Classic Hits,KODJ,"Salt Lake City, UT ",94.1 KODJ
Classic Hits,KOLA,"Riverside-San Bernardino, CA ",KOLA 99.9
Classic Hits,KOOL,"Phoenix, AZ ",94.5 KOOL FM
Classic Hits,KOSF,"San Francisco, CA ",BIG 103.7
Classic Hits,KQQL,"Minneapolis-St. Paul, MN ",KOOL 108
Classic Hits,KRTH,"Los Angeles, CA ",K-EARTH 101
Classic Hits,KXKL,"Denver, CO ",KOOL 105
Classic Hits,WCBS,"New York, NY ",WCBS FM 101.1
Classic Hits,WDRC,"Hartford, CT ",102.9 DRC-FM
Classic Hits,WGRR,"Cincinnati, OH ",103.5 WGRR
Classic Hits,WHTT,"Buffalo, NY ",CLASSIC HITS 104.1 WHTT
Classic Hits,WJMK,"Chicago, IL ",K-HITS 104.3
Classic Hits,WJRZ,"Monmouth-Ocean, NJ ",JERSEY'S GREATEST HITS
Classic Hits,WLS,"Chicago, IL ",CHICAGO'S CLASSIC HITS
Classic Hits,WMJI,"Cleveland, OH ",MAJIC 105.7 WMJI
Classic Hits,WMNI-AM,"Columbus, OH ",AMERICA'S BEST MUSIC
Classic Hits,WMXJ,"Miami, FL ",MAJIC 102.7 FM
Classic Hits,WNND,"Columbus, OH ",REWIND 103.5
Classic Hits,WOCL,"Orlando, FL ",SUNNY 105.9
Classic Hits,WODC,"Columbus, OH ",OLDIES 93.3
Classic Hits,WOGL,"Philadelphia, PA ",98.1 WOGL
Classic Hits,WOGT,"Chattanooga, TN ",107.9 BIG FM
Classic Hits,WOLL,"West Palm Beach-Boca Raton, FL ",KOOL 105.5 CONTINUOUS FAVORITES
Classic Hits,WOMC,"Detroit, MI ",OLDIES 104.3 WOMC
Classic Hits,WRBQ,"Tampa-St. Petersburg, FL ",Q105
Classic Hits,WRIT,"Milwaukee, WI ",OLDIES 95.7
Classic Hits,WROR,"Boston, MA ",105.7 WROR
Classic Hits,WRQQ,"Baton Rouge, LA ",CLASSIC HITS 103.3
Classic Hits,WWBB,"Providence-Warwick-Pawtucket, RI ",B101
Classic Hits,WWMY,"Raleigh-Durham, NC ",Y 102.9
Classic Hits,WWSW,"Pittsburgh, PA ",94.5 3WS
Classic Hits,XHRM,"San Diego, CA ",MAGIC 92.5 FM
Classic Rock,KAAZ,"Salt Lake City, UT ",ROCK 106.5
Classic Rock,KBER,"Salt Lake City, UT ",KBER 101
Classic Rock,KBRU,"Oklahoma City, OK ",94.7 THE BREW
Classic Rock,KCAL,"Riverside-San Bernardino, CA ",KCAL 96.7 ROCKS
Classic Rock,KCFX,"Kansas City, MO-KS ",101 THE FOX
Classic Rock,KFBW,"Portland, OR ",THE BREW 105.9
Classic Rock,KGB,"San Diego, CA ",101 KGB
Classic Rock,KGGO,"Des Moines, IA ",95 KGGO - CLASSIC ROCK THAT ROCKS
Classic Rock,KGLK,"Houston-Galveston, TX ",107.5 THE EAGLE
Classic Rock,KGON,"Portland, OR ",92.3 KGON CLASSIC ROCK
Classic Rock,KIHT,"St. Louis, MO ",K-HITS 96
Classic Rock,KIOT,"Albuquerque, NM ",COYOTE 102.5
Classic Rock,KJSR,"Tulsa, OK ",103.3 THE EAGLE
Classic Rock,KKFM,"Colorado Springs, CO ",CLASSIC ROCK 98.1 KKFM
Classic Rock,KKGL,"Boise, ID ",96.9 THE EAGLE
Classic Rock,KLBJ,"Austin, TX ",KLBJ 93.7 FM AUSTIN'S ROCK
Classic Rock,KLOS,"Los Angeles, CA ",95.5 KLOS
Classic Rock,KQMT,"Denver, CO ",99.5 THE MOUNTAIN
Classic Rock,KQOB,"Oklahoma City, OK ",96.9 BOB FM
Classic Rock,KQRS,"Minneapolis-St. Paul, MN ",92 KQRS
Classic Rock,KRFX,"Denver, CO ",103.5 THE FOX
Classic Rock,KRSP,"Salt Lake City, UT ",103.5 THE ARROW
Classic Rock,KSAN,"San Francisco, CA ",107.7 THE BONE
Classic Rock,KSEG,"Sacramento, CA ",96.9 EAGLE
Classic Rock,KSHE,"St. Louis, MO ",KSHE 95 REAL ROCK RADIO
Classic Rock,KSLX,"Phoenix, AZ ",CLASSIC ROCK 100.7 FM
Classic Rock,KSWD,"Los Angeles, CA ",100.3 FM THE SOUND
Classic Rock,KTKX,"San Antonio, TX ",106.7 THE EAGLE
Classic Rock,KUFX,"San Jose, CA ",CLASSIC ROCK KFOX 98.5
Classic Rock,KXPT,"Las Vegas, NV ",97.1 THE POINT
Classic Rock,KZOK,"Seattle-Tacoma, WA ",KZOK 102.5 FM CLASSIC ROCK
Classic Rock,KZPS,"Dallas-Ft. Worth, TX ",LONE STAR 92.5
Classic Rock,WAXQ,"New York, NY ",Q104.3
Classic Rock,WBAB,"Nassau-Suffolk, NY ",WBAB 102.3
Classic Rock,WBFX,"Grand Rapids, MI ",101.3 THE BREW
Classic Rock,WBGG,"Miami, FL ",BIG 105.9
Classic Rock,WBIG,"Washington, DC ",BIG 100.3 FM
Classic Rock,WBWR,"Columbus, OH ",THE BREW 105.7
Classic Rock,WCSX,"Detroit, MI ",94.7 WCSX THE CLASSIC ROCK STATION
Classic Rock,WDRV,"Chicago, IL ",THE DRIVE 97.1
Classic Rock,WDTW,"Detroit, MI ",106.7 THE D
Classic Rock,WDVE,"Pittsburgh, PA ",102.5 WDVE ROCKS
Classic Rock,WEGR,"Memphis, TN ",ROCK 103
Classic Rock,WFBQ,"Indianapolis, IN ",Q95
Classic Rock,WFGR,"Grand Rapids, MI ",CLASSIC HITS 98.7
Classic Rock,WGRF,"Buffalo, NY ",97 ROCK
Classic Rock,WHJY,"Providence-Warwick-Pawtucket, RI ",94 HJY
Classic Rock,WJJK,"Indianapolis, IN ",104.5 WJJK CLASSIC HITS
Classic Rock,WKGL,"Rockford, IL ",96.7 THE EAGLE
Classic Rock,WKLH,"Milwaukee, WI ",WKLH 96.5 CLASSIC ROCK
Classic Rock,WLAV,"Grand Rapids, MI ",97 LAV-FM
Classic Rock,WLUP,"Chicago, IL ",THE LOOP
Classic Rock,WLVQ,"Columbus, OH ",Q-FM 96
Classic Rock,WMGK,"Philadelphia, PA ",102.9 MGK
Classic Rock,WNCX,"Cleveland, OH ",98.5 WNCX CLEVELAND'S CLASSIC ROCK
Classic Rock,WNRQ,"Nashville, TN ",105.9 THE ROCK
Classic Rock,WOFX,"Cincinnati, OH ",THE FOX 92.5
Classic Rock,WONE,"Akron, OH ",97.5 WONE THE HOME OF ROCK & ROLL
Classic Rock,WPLR,"Hartford, CT ",99.1 PLR
Classic Rock,WRDU,"Raleigh-Durham, NC ",CLASSIC ROCK 100.7
Classic Rock,WRFX,"Charlotte, NC ",99.7 THE FOX
Classic Rock,WSKZ,"Chattanooga, TN ",KZ 106 CLASSIC ROCK
Classic Rock,WSRV,"Atlanta, GA ",97.1 THE RIVER
Classic Rock,WXGL,"Tampa-St. Petersburg, FL ",THE EAGLE 107.3
Classic Rock,WXMX,"Memphis, TN ",98.1 THE MAX
Classic Rock,WXRC,"Charlotte, NC ",95.7 THE RIDE
Classic Rock,WZBA,"Baltimore, MD ",100.7 THE BAY
Classic Rock,WZLX,"Boston, MA ",100.7 WZLX
College,KSYM,"San Antonio, TX ",KSYM 90.1 SAN ANTONIO'S ONLY ALTERNATIVE
College,KUNM,"Albuquerque, NM ",COMMUNITY RADIO 89.9
College,KVRX,"Austin, TX ",STUDENT RADIO FOR THE UNIV. OF TEXAS
College,KXLU,"Los Angeles, CA ",KXLU 88.9
College,WBER,"Rochester, NY ",WBER FM 90.5
College,WBNY,"Buffalo, NY ",91.3 FM WBNY
College,WCLH,"Wilkes-Barre-Scranton, PA ",90.7 FM WCLH
College,WCSB,"Cleveland, OH ",89.3 FM CLEVELAND STATE UNIVERSITY
College,WJCU,"Cleveland, OH ",CLEVELAND'S HOME FOR COLLEGE RADIO
College,WKNC,"Raleigh-Durham, NC ",WKNC 88.1 THE REVOLUTION
College,WMSE,"Milwaukee, WI ",WMSE 91.7
College,WNYU,"New York, NY ",WNYU 89.1 FM
College,WPRB,"Monmouth-Ocean, NJ ",STEREO 103.3 FM
College,WPRK,"Orlando, FL ",WPRK-FM 91.5
College,WRAS,"Atlanta, GA ",ALBUM 88
College,WRCT,"Pittsburgh, PA ",WRCT 88.3 FM A RADIO STATION
College,WRUW,"Cleveland, OH ",WRUW FM 91.1
College,WSOU,"New York, NY ",WSOU 89.5 FM
College,WUAG,"Greensboro-Winston Salem, NC ",THE MUSIC 103.1
College,WUSC,"Columbia, SC ",90.5 WUSC
College,WUSR,"Wilkes-Barre-Scranton, PA ",99.5 WUSR
Country,ARLC,Networks,WESTWOODONE - REAL COUNTRY
Country,DHC,Networks,WESTWOODONE - HOT COUNTRY
Country,DMC,Networks,WESTWOODONE - MAINSTREAM COUNTRY
Country,KAJA,"San Antonio, TX ",KJ-97 FM COUNTRY
Country,KASE,"Austin, TX ",KASE 101
Country,KATC,"Colorado Springs, CO ",CAT COUNTRY 95.1
Country,KATM,"Stockton, CA ",KAT COUNTRY 103 FM
Country,KAWO,"Boise, ID ",WOW COUNTRY 104.3
Country,KBEQ,"Kansas City, MO-KS ",YOUNG COUNTRY Q104
Country,KBQI,"Albuquerque, NM ",BIG I 107.9
Country,KBUL,"Reno, NV ",K-BULL 98.1
Country,KCCY,"Colorado Springs, CO ",Y 96.9
Country,KCYE,"Las Vegas, NV ",102.7 THE COYOTE
Country,KCYY,"San Antonio, TX ",Y100
Country,KDRK,"Spokane, WA ",93.7 THE MOUNTAIN
Country,KEEY,"Minneapolis-St. Paul, MN ",K-102
Country,KEGA,"Salt Lake City, UT ",101.5 THE EAGLE
Country,KFDI,"Wichita, KS ",TODAY'S KFDI FM 101.3
Country,KFGY,"Santa Rosa, CA ",FROGGY 92.9
Country,KFKF,"Kansas City, MO-KS ",COUNTRY 94.1
Country,KFRG,"Riverside-San Bernardino, CA ",K-FROG 95.1
